Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","068","Bolivie (État plurinational de)","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","130.86","I","Valeur imputée"
"PP","Prix à la Production","068","Bolivie (État plurinational de)","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","138.21","I","Valeur imputée"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","95.7","I","Valeur imputée"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","88.43","I","Valeur imputée"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","82.9","I","Valeur imputée"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","84.09","I","Valeur imputée"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","78.39","I","Valeur imputée"
"PP","Prix à la Production","076","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","83.53","I","Valeur imputée"
"PP","Prix à la Production","076","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","67.61","I","Valeur imputée"
"PP","Prix à la Production","076","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","88.27","I","Valeur imputée"
"PP","Prix à la Production","076","Brésil","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","96.31","I","Valeur imputée"
