Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2017","2017","millions","0.778724","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2018","2018","millions","0.912814","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23141","Pêche, Courantes (Administrations Publiques)","2019","2019","millions","1.037771","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2016","2016","millions","2.287724","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2017","2017","millions","0.00795","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2018","2018","millions","0.663715","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23142","Pêche, Capital (Administrations Publiques)","2019","2019","millions","1.219836","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2016","2016","millions","1.493465","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2017","2017","millions","1.796814","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2018","2018","millions","1.864057","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","008","Albanie","6110","Valeur US $","23143","R–D concernant l’agriculture, la sylviculture, la pêche (Administrations Publiques)","2019","2019","millions","3.613992","A","Chiffre officiel","Consolidated General Government Expenditure"
